ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Bororo-2_agouti-1-1,Bororo-2_agouti-1,mea,137,false,expert,,m e - a,SCA,,1
Otuke-2_agouti-1-1,Otuke-2_agouti-1,neda,137,false,expert,,n e d a,SCA,,1
Umutina-2_agouti-1-1,Umutina-2_agouti-1,mea,137,false,expert,,m e - a,SCA,,1
BororoSteinen-2_agouti-1-1,BororoSteinen-2_agouti-1,mah,137,false,expert,,m a h -,SCA,,1
Bororo-3_anacondawaterboa-1-1,Bororo-3_anacondawaterboa-1,dʒure,138,false,expert,,- dʒ u ɾ e,SCA,,1
Umutina-3_anacondawaterboa-1-1,Umutina-3_anacondawaterboa-1,ʒurɛ,138,false,expert,,- ʒ u ɾ ɛ,SCA,,1
Otuke-3_anacondawaterboa-1-1,Otuke-3_anacondawaterboa-1,etari,138,false,expert,,e t a ɾ i,SCA,,1
Bororo-6_arm-1-1,Bororo-6_arm-1,kera,1,false,expert,,k e ɾ a,SCA,,1
Otuke-6_arm-1-1,Otuke-6_arm-1,keara,1,false,expert,,k ea ɾ a,SCA,,1
Umutina-6_arm-1-1,Umutina-6_arm-1,tʃe,24,false,expert,,tʃ e,SCA,,1
Bororo-6_arm-2-1,Bororo-6_arm-2,kodu,503,false,expert,,k o - -,SCA,,1
Bororo-6_arm-2-2,Bororo-6_arm-2,kodu,479,false,expert,,d ɨ,SCA,,2
BororoCampanha-6_arm-1-1,BororoCampanha-6_arm-1,iketo,503,false,expert,,k e t o,SCA,,1
BororoCabacal-6_arm-1-1,BororoCabacal-6_arm-1,atschimutura,613,false,expert,,a tʃ i m u t u ɾ a,SCA,,1
BororoWesternCastelnau-6_arm-1-1,BororoWesternCastelnau-6_arm-1,tito,503,false,expert,,t i t o,SCA,,1
BororoSteinen-6_arm-1-1,BororoSteinen-6_arm-1,ikana,151,false,expert,,- k a n a,SCA,,1
Bororo-7_armadillo-1-1,Bororo-7_armadillo-1,okʷaru,25,false,expert,,- o kʷ a ɾ u,SCA,,1
Bororo-7_armadillo-2-1,Bororo-7_armadillo-2,waru,25,false,expert,,- - w a ɾ u,SCA,,1
Otuke-7_armadillo-1-1,Otuke-7_armadillo-1,ohʷaru,25,false,expert,,- o hʷ a ɾ u,SCA,,1
Umutina-7_armadillo-1-1,Umutina-7_armadillo-1,oʃika,258,false,expert,,- - - - - o ʃ i k a,SCA,,1
Bororo-8_armadillosp-1-1,Bororo-8_armadillosp-1,botowɨ,26,false,expert,,b o t o w ɨ,SCA,,1
Bororo-8_armadillosp-2-1,Bororo-8_armadillosp-2,enokuri,755,false,expert,,e n o,SCA,,1
Bororo-8_armadillosp-2-2,Bororo-8_armadillosp-2,enokuri,754,false,expert,,k u ɾ i,SCA,,2
Bororo-8_armadillosp-3-1,Bororo-8_armadillosp-3,bokodori,28,false,expert,,b o k o d o ɾ i,SCA,,1
Bororo-8_armadillosp-4-1,Bororo-8_armadillosp-4,rea,29,false,expert,,ɾ ea,SCA,,1
Umutina-8_armadillosp-1-1,Umutina-8_armadillosp-1,wari,25,false,expert,,- - w a ɾ i,SCA,,1
Umutina-8_armadillosp-2-1,Umutina-8_armadillosp-2,botori,26,false,expert,,b o t o r i,SCA,,1
Bororo-9_arrow-1-1,Bororo-9_arrow-1,tɨgo,30,false,expert,,t ɨ g o,SCA,,1
Otuke-9_arrow-1-1,Otuke-9_arrow-1,tehʷa,30,false,expert,,t e hʷ a,SCA,,1
Umutina-9_arrow-1-1,Umutina-9_arrow-1,to,31,false,expert,,t ɔ - -,SCA,,1
Umutina-9_arrow-2-1,Umutina-9_arrow-2,tʃo,31,false,expert,,tʃ ɔ - -,SCA,,1
BororoCabacal-9_arrow-1-1,BororoCabacal-9_arrow-1,tʃora,31,false,expert,,tʃ o ɾ a,SCA,,1
BororoCabacal-9_arrow-2-1,BororoCabacal-9_arrow-2,koka,518,false,expert,,k o k a,SCA,,1
BororoSaoLourenco-9_arrow-1-1,BororoSaoLourenco-9_arrow-1,duga,30,false,expert,,d u g a,SCA,,1
