ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Bororo-1_achiote-1,,Bororo,1_achiote,nonogo,nonogo,n o n o g o,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,ACHIOTE,138,1
Umutina-1_achiote-1,,Umutina,1_achiote,nonokʷa,nonokʷa,n o n o kʷ a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,ACHIOTE,138,1
Bororo-2_agouti-1,,Bororo,2_agouti,mea,mea,m e a,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,AGOUTI,128,137
Otuke-2_agouti-1,,Otuke,2_agouti,neda,neda,n e d a,,de1912linguistique;monfort1913linguistique,,,,,AGOUTI,128,137
Umutina-2_agouti-1,,Umutina,2_agouti,mea,mea,m e a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,AGOUTI,128,137
Bororo-3_anacondawaterboa-1,,Bororo,3_anacondawaterboa,dʒure,dʒure,dʒ u r e,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,ANACONDA,78,138
Umutina-3_anacondawaterboa-1,,Umutina,3_anacondawaterboa,ʒurɛ,ʒurɛ,ʒ u r ɛ,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,ANACONDA,78,138
Bororo-6_arm-1,,Bororo,6_arm,kera,kera,k e r a,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,ARM,106,1
Otuke-6_arm-1,,Otuke,6_arm,keara,keara,k ea r a,,de1912linguistique;monfort1913linguistique,,,,,ARM,106,1
Umutina-6_arm-1,,Umutina,6_arm,tʃe,tʃe,tʃ e,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,ARM,220,24
Bororo-7_armadillo-1,,Bororo,7_armadillo,okʷaru / waru,okʷaru,o kʷ a r u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,ARMADILLO,92,25
Bororo-7_armadillo-2,,Bororo,7_armadillo,okʷaru / waru,waru,w a r u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,ARMADILLO,92,25
Otuke-7_armadillo-1,,Otuke,7_armadillo,ohʷaru,ohʷaru,o hʷ a r u,,de1912linguistique;monfort1913linguistique,,,,,ARMADILLO,92,25
Umutina-7_armadillo-1,,Umutina,7_armadillo,oʃika,oʃika,o ʃ i k a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,ARMADILLO,282,258
Bororo-8_armadillosp-1,,Bororo,8_armadillosp,botowɨ / enokuri / bokodori / rea,botowɨ,b o t o w ɨ,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,ARMADILLO,63,26
Bororo-8_armadillosp-2,,Bororo,8_armadillosp,botowɨ / enokuri / bokodori / rea,enokuri,e n o k u r i,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,ARMADILLO,81,27
Bororo-8_armadillosp-3,,Bororo,8_armadillosp,botowɨ / enokuri / bokodori / rea,bokodori,b o k o d o r i,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,ARMADILLO,39,28
Bororo-8_armadillosp-4,,Bororo,8_armadillosp,botowɨ / enokuri / bokodori / rea,rea,r ea,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,ARMADILLO,122,29
Bororo-9_arrow-1,,Bororo,9_arrow,tɨgo,tɨgo,t ɨ g o,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,ARROW,239,30
